date,year,week,month,yearMinus2000,dailyrainfall,dayOfYear,seasonalEffect,mu,y
2000-01-01,1999,52,1,-1,5.85800305008888,1,-0.321269661692364,0.617606044933499,0
2000-01-02,1999,52,1,-1,0.0894579570740461,2,-0.304921224656289,0.632938614543916,0
2000-01-03,2000,1,1,0,2.93739611981437,3,-0.288482432880609,0.716968301457886,2
2000-01-04,2000,1,1,0,2.77374957920983,4,-0.271958157534106,0.734961445460312,1
2000-01-05,2000,1,1,0,8.13574214931577,5,-0.255353295116187,0.753497225799931,0
2000-01-06,2000,1,1,0,2.60427771368995,6,-0.23867276600595,0.772588163658589,0
2000-01-07,2000,1,1,0,7.24405892658979,7,-0.221921513004166,0.792246839645678,0
2000-01-08,2000,1,1,0,9.06092151300982,8,-0.205104499868619,0.812485874790228,0
2000-01-09,2000,1,1,0,9.49040221050382,9,-0.188226709843244,0.833317910166966,1
2000-01-10,2000,2,1,0,0.731444694101811,10,-0.171293144181478,0.854755585117586,1
2000-01-11,2000,2,1,0,7.54675026983023,11,-0.154308820664281,0.876811514030794,0
2000-01-12,2000,2,1,0,2.8600062080659,12,-0.137278772113265,0.899498261647456,0
2000-01-13,2000,2,1,0,1.00053521571681,13,-0.120208044899353,0.922828316860216,1
2000-01-14,2000,2,1,0,9.5406877505593,14,-0.103101697447435,0.946814064980519,1
2000-01-15,2000,2,1,0,4.15607118513435,15,-0.0859647987374465,0.971467758449824,1
2000-01-16,2000,2,1,0,4.55102417618036,16,-0.0688024268023199,0.996801485976191,1
2000-01-17,2000,3,1,0,9.71055655973032,17,-0.0516196672232538,1.02282714008215,1
2000-01-18,2000,3,1,0,5.83987979684025,18,-0.0344216116227457,1.04955638305505,0
2000-01-19,2000,3,1,0,9.6220462443307,19,-0.0172133561558347,1.07700061129675,0
2000-01-20,2000,3,1,0,7.6170240319334,20,0,1.10517091807565,1
2000-01-21,2000,3,1,0,7.14508535340428,21,0.0172133561558347,1.13407805469075,1
2000-01-22,2000,3,1,0,9.96612856863067,22,0.0344216116227457,1.16373239006456,0
2000-01-23,2000,3,1,0,5.06270894315094,23,0.0516196672232538,1.19414386878908,2
2000-01-24,2000,4,1,0,4.8994323820807,24,0.0688024268023199,1.2253219676574,2
2000-01-25,2000,4,1,0,6.49161368608475,25,0.0859647987374465,1.25727565072172,0
2000-01-26,2000,4,1,0,8.3080641226843,26,0.103101697447435,1.29001332292767,2
2000-01-27,2000,4,1,0,4.8199900239706,27,0.120208044899353,1.32354278238428,3
2000-01-28,2000,4,1,0,8.41746223624796,28,0.137278772113265,1.35787117133849,0
2000-01-29,2000,4,1,0,5.13701735064387,29,0.154308820664281,1.39300492593357,0
2000-01-30,2000,4,1,0,5.29777535470203,30,0.171293144181478,1.4289497248411,0
2000-01-31,2000,5,1,0,5.67112212534994,31,0.188226709843244,1.4657104368673,2
