date,year,week,month,fylke,yearMinus2000,dayOfSeries,dayOfYear,seasonalEffect,mu,y
2010-01-01,2009,53,1,1,9,1,1,-0.321269661692364,2,5
2010-01-02,2009,53,1,1,9,2,2,-0.304921224656289,2,5
2010-01-03,2009,53,1,1,9,3,3,-0.288482432880609,2,5
2010-01-04,2010,1,1,1,10,4,4,-0.271958157534106,2,7
2010-01-05,2010,1,1,1,10,5,5,-0.255353295116187,2,6
2010-01-06,2010,1,1,1,10,6,6,-0.23867276600595,2,6
2010-01-07,2010,1,1,1,10,7,7,-0.221921513004166,2,7
2010-01-08,2010,1,1,1,10,8,8,-0.205104499868619,2,7
2010-01-09,2010,1,1,1,10,9,9,-0.188226709843244,2,5
2010-01-10,2010,1,1,1,10,10,10,-0.171293144181478,2,6
2010-01-11,2010,2,1,1,10,11,11,-0.154308820664281,2,5
2010-01-12,2010,2,1,1,10,12,12,-0.137278772113265,2,5
2010-01-13,2010,2,1,1,10,13,13,-0.120208044899353,3,6
2010-01-14,2010,2,1,1,10,14,14,-0.103101697447435,3,8
2010-01-15,2010,2,1,1,10,15,15,-0.0859647987374465,3,11
2010-01-16,2010,2,1,1,10,16,16,-0.0688024268023199,3,8
2010-01-17,2010,2,1,1,10,17,17,-0.0516196672232538,3,7
2010-01-18,2010,3,1,1,10,18,18,-0.0344216116227457,3,9
2010-01-19,2010,3,1,1,10,19,19,-0.0172133561558347,3,9
2010-01-20,2010,3,1,1,10,20,20,0,3,11
2010-01-21,2010,3,1,1,10,21,21,0.0172133561558347,3,11
2010-01-22,2010,3,1,1,10,22,22,0.0344216116227457,3,10
2010-01-23,2010,3,1,1,10,23,23,0.0516196672232538,3,9
2010-01-24,2010,3,1,1,10,24,24,0.0688024268023199,3,7
2010-01-25,2010,4,1,1,10,25,25,0.0859647987374465,3,9
2010-01-26,2010,4,1,1,10,26,26,0.103101697447435,4,11
2010-01-27,2010,4,1,1,10,27,27,0.120208044899353,4,12
2010-01-28,2010,4,1,1,10,28,28,0.137278772113265,4,12
2010-01-29,2010,4,1,1,10,29,29,0.154308820664281,4,10
2010-01-30,2010,4,1,1,10,30,30,0.171293144181478,4,11
2010-01-31,2010,4,1,1,10,31,31,0.188226709843244,4,15
2010-02-01,2010,5,2,1,10,32,32,0.205104499868619,4,13
2010-02-02,2010,5,2,1,10,33,33,0.221921513004166,4,18
2010-02-03,2010,5,2,1,10,34,34,0.23867276600595,4,16
2010-02-04,2010,5,2,1,10,35,35,0.255353295116187,4,15
2010-02-05,2010,5,2,1,10,36,36,0.271958157534106,5,15
2010-02-06,2010,5,2,1,10,37,37,0.288482432880609,5,13
2010-02-07,2010,5,2,1,10,38,38,0.304921224656289,5,15
2010-02-08,2010,6,2,1,10,39,39,0.321269661692364,5,13
2010-02-09,2010,6,2,1,10,40,40,0.337522899594113,5,14
2010-02-10,2010,6,2,1,10,41,41,0.353676122176372,5,12
2010-02-11,2010,6,2,1,10,42,42,0.369724542890673,5,11
2010-02-12,2010,6,2,1,10,43,43,0.385663406243607,5,11
2010-02-13,2010,6,2,1,10,44,44,0.401487989205973,5,12
2010-02-14,2010,6,2,1,10,45,45,0.417193602612317,6,13
2010-02-15,2010,7,2,1,10,46,46,0.432775592550431,6,14
2010-02-16,2010,7,2,1,10,47,47,0.448229341740411,6,21
2010-02-17,2010,7,2,1,10,48,48,0.463550270902851,6,18
2010-02-18,2010,7,2,1,10,49,49,0.478733840115789,6,17
2010-02-19,2010,7,2,1,10,50,50,0.493775550159977,6,16
2010-02-20,2010,7,2,1,10,51,51,0.508670943852104,6,18
2010-02-21,2010,7,2,1,10,52,52,0.52341560736555,7,18
2010-02-22,2010,8,2,1,10,53,53,0.5380051715383,7,21
2010-02-23,2010,8,2,1,10,54,54,0.55243531316762,7,21
2010-02-24,2010,8,2,1,10,55,55,0.566701756291118,7,20
2010-02-25,2010,8,2,1,10,56,56,0.580800273453801,7,22
2010-02-26,2010,8,2,1,10,57,57,0.594726686960763,7,18
2010-02-27,2010,8,2,1,10,58,58,0.608476870115126,7,18
2010-02-28,2010,8,2,1,10,59,59,0.622046748440868,8,22
2010-03-01,2010,9,3,1,10,60,60,0.635432300890177,8,19
2010-03-02,2010,9,3,1,10,61,61,0.648629561034981,8,22
2010-03-03,2010,9,3,1,10,62,62,0.661634618242278,8,27
2010-03-04,2010,9,3,1,10,63,63,0.674443618832946,8,27
2010-03-05,2010,9,3,1,10,64,64,0.687052767223667,8,22
2010-03-06,2010,9,3,1,10,65,65,0.699458327051647,9,25
2010-03-07,2010,9,3,1,10,66,66,0.711656622281775,9,28
2010-03-08,2010,10,3,1,10,67,67,0.723644038295912,9,29
2010-03-09,2010,10,3,1,10,68,68,0.735417022963986,9,30
2010-03-10,2010,10,3,1,10,69,69,0.746972087696555,9,32
2010-03-11,2010,10,3,1,10,70,70,0.758305808478562,9,31
2010-03-12,2010,10,3,1,10,71,71,0.769414826883938,10,28
2010-03-13,2010,10,3,1,10,72,72,0.780295851070776,10,30
2010-03-14,2010,10,3,1,10,73,73,0.790945656756777,10,33
2010-03-15,2010,11,3,1,10,74,74,0.801361088174677,10,31
2010-03-16,2010,11,3,1,10,75,75,0.811539059007361,10,29
2010-03-17,2010,11,3,1,10,76,76,0.821476553302414,10,28
2010-03-18,2010,11,3,1,10,77,77,0.831170626365808,10,30
2010-03-19,2010,11,3,1,10,78,78,0.840618405634478,11,32
2010-03-20,2010,11,3,1,10,79,79,0.849817091527528,11,32
2010-03-21,2010,11,3,1,10,80,80,0.858763958275803,11,37
2010-03-22,2010,12,3,1,10,81,81,0.867456354729597,11,38
2010-03-23,2010,12,3,1,10,82,82,0.875891705144243,11,36
2010-03-24,2010,12,3,1,10,83,83,0.884067509943364,11,39
2010-03-25,2010,12,3,1,10,84,84,0.891981346459549,11,32
2010-03-26,2010,12,3,1,10,85,85,0.899630869652243,12,38
2010-03-27,2010,12,3,1,10,86,86,0.907013812802636,12,36
2010-03-28,2010,12,3,1,10,87,87,0.914127988185334,12,36
2010-03-29,2010,13,3,1,10,88,88,0.920971287716635,12,39
2010-03-30,2010,13,3,1,10,89,89,0.927541683579197,12,35
2010-03-31,2010,13,3,1,10,90,90,0.933837228822925,12,37
2010-04-01,2010,13,4,1,10,91,91,0.939856057941895,12,36
2010-04-02,2010,13,4,1,10,92,92,0.945596387427143,12,38
2010-04-03,2010,13,4,1,10,93,93,0.951056516295153,13,35
2010-04-04,2010,13,4,1,10,94,94,0.956234826591906,13,37
2010-04-05,2010,14,4,1,10,95,95,0.961129783872301,13,42
2010-04-06,2010,14,4,1,10,96,96,0.965739937654855,13,47
2010-04-07,2010,14,4,1,10,97,97,0.970063921851507,13,45
2010-04-08,2010,14,4,1,10,98,98,0.97410045517242,13,43
2010-04-09,2010,14,4,1,10,99,99,0.977848341505657,13,37
2010-04-10,2010,14,4,1,10,100,100,0.981306470271609,13,44
2010-04-11,2010,14,4,1,10,101,101,0.984473816752092,13,40
2010-04-12,2010,15,4,1,10,102,102,0.987349442393986,13,40
2010-04-13,2010,15,4,1,10,103,103,0.989932495087353,13,43
2010-04-14,2010,15,4,1,10,104,104,0.992222209417932,13,41
2010-04-15,2010,15,4,1,10,105,105,0.994217906893952,13,42
2010-04-16,2010,15,4,1,10,106,106,0.995918996147179,13,36
2010-04-17,2010,15,4,1,10,107,107,0.997324973108156,13,48
2010-04-18,2010,15,4,1,10,108,108,0.998435421155564,13,37
2010-04-19,2010,16,4,1,10,109,109,0.999250011239683,13,38
2010-04-20,2010,16,4,1,10,110,110,0.999768501979891,13,48
2010-04-21,2010,16,4,1,10,111,111,0.99999073973619,13,40
2010-04-22,2010,16,4,1,10,112,112,0.999916658654738,13,40
2010-04-23,2010,16,4,1,10,113,113,0.999546280687357,13,39
2010-04-24,2010,16,4,1,10,114,114,0.998879715585034,13,33
2010-04-25,2010,16,4,1,10,115,115,0.997917160865392,13,40
2010-04-26,2010,17,4,1,10,116,116,0.99665890175417,13,34
2010-04-27,2010,17,4,1,10,117,117,0.995105311100698,13,34
2010-04-28,2010,17,4,1,10,118,118,0.993256849267414,13,33
2010-04-29,2010,17,4,1,10,119,119,0.991114063993455,13,38
2010-04-30,2010,17,4,1,10,120,120,0.988677590232341,13,45
2010-05-01,2010,17,5,1,10,121,121,0.98594814996383,13,41
2010-05-02,2010,17,5,1,10,122,122,0.982926551979982,13,32
2010-05-03,2010,18,5,1,10,123,123,0.97961369164549,13,33
2010-05-04,2010,18,5,1,10,124,124,0.976010550632368,13,43
2010-05-05,2010,18,5,1,10,125,125,0.972118196629061,13,39
2010-05-06,2010,18,5,1,10,126,126,0.967937783024064,13,33
2010-05-07,2010,18,5,1,10,127,127,0.963470548564149,13,33
2010-05-08,2010,18,5,1,10,128,128,0.958717816987296,13,31
2010-05-09,2010,18,5,1,10,129,129,0.953680996630446,13,31
2010-05-10,2010,19,5,1,10,130,130,0.948361580012172,12,27
2010-05-11,2010,19,5,1,10,131,131,0.942761143390421,12,27
2010-05-12,2010,19,5,1,10,132,132,0.936881346295431,12,33
2010-05-13,2010,19,5,1,10,133,133,0.930723931037979,12,43
2010-05-14,2010,19,5,1,10,134,134,0.924290722193093,12,41
2010-05-15,2010,19,5,1,10,135,135,0.917583626059394,12,40
2010-05-16,2010,19,5,1,10,136,136,0.910604630094216,12,34
