date,numberOfCows,year,week,month,season,seasonIntercept,yearMinus2000,dayOfSeries,mu,y
2010-01-01,5,2009,53,1,Winter,0,9,1,18,20
2010-01-02,1,2009,53,1,Winter,0,9,2,8,8
2010-01-03,4,2009,53,1,Winter,0,9,3,15,13
2010-01-04,4,2010,1,1,Winter,0,10,4,18,30
2010-01-05,7,2010,1,1,Winter,0,10,5,33,31
2010-01-06,3,2010,1,1,Winter,0,10,6,15,10
2010-01-07,6,2010,1,1,Winter,0,10,7,27,21
2010-01-08,8,2010,1,1,Winter,0,10,8,40,28
2010-01-09,9,2010,1,1,Winter,0,10,9,49,46
2010-01-10,2,2010,1,1,Winter,0,10,10,12,9
2010-01-11,6,2010,2,1,Winter,0,10,11,27,24
2010-01-12,4,2010,2,1,Winter,0,10,12,18,19
2010-01-13,2,2010,2,1,Winter,0,10,13,12,12
2010-01-14,9,2010,2,1,Winter,0,10,14,49,42
2010-01-15,4,2010,2,1,Winter,0,10,15,18,16
2010-01-16,5,2010,2,1,Winter,0,10,16,22,35
2010-01-17,10,2010,2,1,Winter,0,10,17,60,56
2010-01-18,5,2010,3,1,Winter,0,10,18,22,26
2010-01-19,9,2010,3,1,Winter,0,10,19,49,53
2010-01-20,6,2010,3,1,Winter,0,10,20,27,22
2010-01-21,6,2010,3,1,Winter,0,10,21,27,29
2010-01-22,12,2010,3,1,Winter,0,10,22,90,99
2010-01-23,5,2010,3,1,Winter,0,10,23,22,19
2010-01-24,5,2010,3,1,Winter,0,10,24,22,16
2010-01-25,6,2010,4,1,Winter,0,10,25,27,24
2010-01-26,7,2010,4,1,Winter,0,10,26,33,27
2010-01-27,5,2010,4,1,Winter,0,10,27,22,25
2010-01-28,7,2010,4,1,Winter,0,10,28,33,24
2010-01-29,5,2010,4,1,Winter,0,10,29,22,18
2010-01-30,5,2010,4,1,Winter,0,10,30,22,14
2010-01-31,5,2010,4,1,Winter,0,10,31,22,19
2010-02-01,3,2010,5,2,Winter,0,10,32,15,18
2010-02-02,8,2010,5,2,Winter,0,10,33,40,37
2010-02-03,6,2010,5,2,Winter,0,10,34,27,16
2010-02-04,5,2010,5,2,Winter,0,10,35,22,14
2010-02-05,10,2010,5,2,Winter,0,10,36,60,69
2010-02-06,5,2010,5,2,Winter,0,10,37,22,16
2010-02-07,6,2010,5,2,Winter,0,10,38,27,31
2010-02-08,4,2010,6,2,Winter,0,10,39,18,17
