date,fylke,numberOfCows,year,week,month,season,seasonIntercept,yearMinus2000,dayOfSeries,mu,y
2010-01-01,1,5,2009,53,1,Winter,0,9,1,6,13
2010-01-02,1,1,2009,53,1,Winter,0,9,2,6,12
2010-01-03,1,4,2009,53,1,Winter,0,9,3,6,12
2010-01-04,1,4,2010,1,1,Winter,0,10,4,7,12
2010-01-05,1,7,2010,1,1,Winter,0,10,5,7,12
2010-01-06,1,3,2010,1,1,Winter,0,10,6,7,13
2010-01-07,1,6,2010,1,1,Winter,0,10,7,7,13
2010-01-08,1,8,2010,1,1,Winter,0,10,8,7,12
2010-01-09,1,9,2010,1,1,Winter,0,10,9,7,15
2010-01-10,1,2,2010,1,1,Winter,0,10,10,7,15
2010-01-11,1,6,2010,2,1,Winter,0,10,11,7,15
2010-01-12,1,4,2010,2,1,Winter,0,10,12,7,17
2010-01-13,1,2,2010,2,1,Winter,0,10,13,7,10
2010-01-14,1,9,2010,2,1,Winter,0,10,14,7,11
2010-01-15,1,4,2010,2,1,Winter,0,10,15,7,14
2010-01-16,1,5,2010,2,1,Winter,0,10,16,7,13
2010-01-17,1,10,2010,2,1,Winter,0,10,17,7,14
2010-01-18,1,5,2010,3,1,Winter,0,10,18,7,12
2010-01-19,1,9,2010,3,1,Winter,0,10,19,7,13
2010-01-20,1,6,2010,3,1,Winter,0,10,20,7,13
2010-01-21,1,6,2010,3,1,Winter,0,10,21,7,16
2010-01-22,1,12,2010,3,1,Winter,0,10,22,7,14
2010-01-23,1,5,2010,3,1,Winter,0,10,23,7,16
2010-01-24,1,5,2010,3,1,Winter,0,10,24,7,17
2010-01-25,1,6,2010,4,1,Winter,0,10,25,7,18
2010-01-26,1,7,2010,4,1,Winter,0,10,26,7,10
2010-01-27,1,5,2010,4,1,Winter,0,10,27,7,10
2010-01-28,1,7,2010,4,1,Winter,0,10,28,7,13
2010-01-29,1,5,2010,4,1,Winter,0,10,29,7,13
2010-01-30,1,5,2010,4,1,Winter,0,10,30,7,11
2010-01-31,1,5,2010,4,1,Winter,0,10,31,7,7
2010-02-01,1,3,2010,5,2,Winter,0,10,32,7,13
2010-02-02,1,8,2010,5,2,Winter,0,10,33,7,14
2010-02-03,1,6,2010,5,2,Winter,0,10,34,7,16
2010-02-04,1,5,2010,5,2,Winter,0,10,35,7,14
2010-02-05,1,10,2010,5,2,Winter,0,10,36,7,13
2010-02-06,1,5,2010,5,2,Winter,0,10,37,7,9
2010-02-07,1,6,2010,5,2,Winter,0,10,38,7,8
2010-02-08,1,4,2010,6,2,Winter,0,10,39,7,13
2010-02-09,1,0,2010,6,2,Winter,0,10,40,7,13
2010-02-10,1,9,2010,6,2,Winter,0,10,41,7,13
2010-02-11,1,3,2010,6,2,Winter,0,10,42,7,10
2010-02-12,1,5,2010,6,2,Winter,0,10,43,7,14
2010-02-13,1,3,2010,6,2,Winter,0,10,44,7,14
2010-02-14,1,8,2010,6,2,Winter,0,10,45,7,13
2010-02-15,1,2,2010,7,2,Winter,0,10,46,7,14
2010-02-16,1,8,2010,7,2,Winter,0,10,47,7,11
2010-02-17,1,8,2010,7,2,Winter,0,10,48,7,14
2010-02-18,1,6,2010,7,2,Winter,0,10,49,7,18
2010-02-19,1,5,2010,7,2,Winter,0,10,50,7,17
2010-02-20,1,4,2010,7,2,Winter,0,10,51,7,17
2010-02-21,1,6,2010,7,2,Winter,0,10,52,7,18
2010-02-22,1,8,2010,8,2,Winter,0,10,53,7,13
2010-02-23,1,7,2010,8,2,Winter,0,10,54,7,9
2010-02-24,1,7,2010,8,2,Winter,0,10,55,7,13
2010-02-25,1,4,2010,8,2,Winter,0,10,56,7,13
2010-02-26,1,3,2010,8,2,Winter,0,10,57,7,13
2010-02-27,1,3,2010,8,2,Winter,0,10,58,7,13
2010-02-28,1,8,2010,8,2,Winter,0,10,59,7,12
2010-03-01,1,6,2010,9,3,Spring,1,10,60,20,32
2010-03-02,1,5,2010,9,3,Spring,1,10,61,20,34
2010-03-03,1,2,2010,9,3,Spring,1,10,62,20,36
2010-03-04,1,7,2010,9,3,Spring,1,10,63,20,42
2010-03-05,1,8,2010,9,3,Spring,1,10,64,20,39
2010-03-06,1,3,2010,9,3,Spring,1,10,65,20,37
2010-03-07,1,6,2010,9,3,Spring,1,10,66,20,38
2010-03-08,1,2,2010,10,3,Spring,1,10,67,20,37
2010-03-09,1,5,2010,10,3,Spring,1,10,68,20,33
2010-03-10,1,7,2010,10,3,Spring,1,10,69,20,36
2010-03-11,1,10,2010,10,3,Spring,1,10,70,20,37
2010-03-12,1,4,2010,10,3,Spring,1,10,71,20,48
2010-03-13,1,6,2010,10,3,Spring,1,10,72,20,49
2010-03-14,1,4,2010,10,3,Spring,1,10,73,20,48
